Product_Code,Product_Name,Category,Source
F4601,Red Faux Leather,Sofa,Sofas NY Price
F4602,Black Faux Leather,Sofa,Sofas NY Price
F4603,Orange Brown Faux Leather,Sofa,Sofas NY Price
F4604,White Faux Leather,Sofa,Sofas NY Price
F4605,Brown Faux Leather,Sofa,Sofas NY Price
F4501,Black & White Faux Leather,Sofa,Sofas NY Price
F4502,Black Faux Leather,Sofa,Sofas NY Price
F4503,Black & Red Faux Leather,Sofa,Sofas NY Price
F4901,Red Microfiber,Sofa,Sofas NY Price
F4902,Black Microfiber,Sofa,Sofas NY Price
F4903,Blue Microfiber,Sofa,Sofas NY Price
F4904,Gray Microfiber,Sofa,Sofas NY Price
F4905,White Microfiber,Sofa,Sofas NY Price
FF0001,Gray White Flannelette Sofabed,Sofa Bed,Sofas NY Price
FF0002,Dark Brown,Sofa Bed,Sofas NY Price
FF0003,Red,Sofa Bed,Sofas NY Price
FF0004,Blue,Sofa Bed,Sofas NY Price
FF0005,Black,Sofa Bed,Sofas NY Price
FF0006,Dark Gray,Sofa Bed,Sofas NY Price
FF0051,Dark Gray Sackcloth,Sectional,Sofas NY Price
FF0052,Dark Gray Sackcloth,Sectional,Sofas NY Price
FF0053,Cream White Sackcloth,Sectional,Sofas NY Price
F5996-#1,Dark Gray Corduroy Modular,Modular Sofa,Sofas NY Price
F5996-#2,Dark Gray Corduroy Modular,Modular Sofa,Sofas NY Price
F5996-#3,Dark Gray Corduroy Modular,Modular Sofa,Sofas NY Price
F5996-#4,Dark Gray Corduroy Modular,Modular Sofa,Sofas NY Price
F5996-#5,Dark Gray Corduroy Modular,Modular Sofa,Sofas NY Price
F5996-#6,Dark Gray Corduroy Modular,Modular Sofa,Sofas NY Price
F2502,Black Faux Leather,Sofa,Sofas NY Price
FU2201,White Flannelette,Chaise Sofa,Sofas NY Price
F22021,Black Faux Leather,Chaise Sofa,Sofas NY Price
F44672,Brown Flannel,Sectional,Sofas NY Price
F44673,Blue Flannel,Sectional,Sofas NY Price
F22301,Blue,Sectional,Sofas NY Price
F22302,Apple Green Woven Cotton,Sectional,Sofas NY Price
F22306,Light Gray / Dark Gray,Sectional,Sofas NY Price
